ordernumber,quantityordered,priceeach,orderlinenumber,sales,status,qtr_id,month_id,year_id,productline,msrp,productcode,customername,phone,addressline1,addressline2,city,state,postalcode,country,territory,contactlastname,contactfirstname,dealsize,order_date
10107,30,95.7,2,2871,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Not Provided,NYC,NY,10022,USA,Unknown,Yu,Kwai,Small,2/24/2003
10121,34,81.35,5,2765.9,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Not Provided,Reims,CA,51100,France,EMEA,Henriot,Paul,Small,5/7/2003
10134,41,94.74,2,3884.34,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Not Provided,Paris,CA,75508,France,EMEA,Da Cunha,Daniel,Medium,7/1/2003
10145,45,83.26,6,3746.7,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Not Provided,Pasadena,CA,90003,USA,Unknown,Young,Julie,Medium,8/25/2003
10159,49,100,14,5205.27,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Not Provided,San Francisco,CA,,USA,Unknown,Brown,Julie,Medium,10/10/2003
10168,36,96.66,1,3479.76,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Not Provided,Burlingame,CA,94217,USA,Unknown,Hirano,Juri,Medium,10/28/2003
10180,29,86.13,9,2497.77,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Not Provided,Lille,CA,59000,France,EMEA,Rance,Martine,Small,11/11/2003
10188,48,100,1,5512.32,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Not Provided,Bergen,CA,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,11/18/2003
10201,22,98.57,2,2168.54,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,Not Provided,San Francisco,CA,,USA,Unknown,Murphy,Julie,Small,12/1/2003
10211,41,100,14,4708.44,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Not Provided,Paris,CA,75016,France,EMEA,Perrier,Dominique,Medium,1/15/2004
10223,37,100,1,3965.66,Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2/20/2004
10237,23,100,7,2333.12,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Unknown,Frick,Michael,Small,4/5/2004
